,,SVR,HA,AGCRN,MultiSPANS,MSTGCN,ASTGCN,CONVGCN,DGCN,TimeMixer
SZ_TAXI,MAE,2.723369,8.772669,3.05568775,2.90708971,2.905015469,2.954086542,3.348235,2.971325159,2.70033325
,RMSE,4.182659,12.471788,4.198730583,4.435078144,4.349585533,4.391147137,4.467979,4.439442158,4.201039083
NYCTAXI202001-202003,MAE,24.242601,13.075715,23.05806942,13.085658,20.9491,11.74197533,13.37471199,3.733171333,2.569605
,RMSE,62.510227,47.296223,57.916475,26.7295,44.626701,26.4240195,27.7228241,7.71080275,7.917947417
PEMSD3,MAE,15.37920467,24.889771,15.17660808,15.1766,35.9071,21.11242558,16.205429,15.8114,15.81136725
,RMSE,27.30571367,46.009872,26.2619835,26.262,49.6242,38.74173283,28.647007,24.6072,24.6072155
PEMSD4,MAE,27.45,9.074718,6.960774,19.07,24.73,7.871952583,21.824419,8.40637925,18.21873875
,RMSE,40.74,24.141447,18.88106183,30.46,37.82,19.431041,35.859413,19.75931925,29.54347908
PEMSD8,MAE,32.83,7.708592,5.604366,14.68,18.57,6.433009167,18.398994,7.092401167,15.36700967
,RMSE,43.95,21.337454,13.97393808,23.87,28.55,15.55628958,27.529671,15.69312658,24.92743192
